Author_1,Author_2,label,jaccard
britton,sagitov,False,0.06818181818181818
wiedemann,masuda,False,0.06993006993006994
wiedemann,kuperberg,False,0.07368421052631578
wiedemann,ghioca,False,0.05421686746987952
wiedemann,tucker,False,0.040740740740740744
tran,graffi,False,0.10401188707280833
tran,caliceti,False,0.06935483870967742
tran,herau,True,0.0467741935483871
bickel,lebrun,False,0.016260162601626018
bickel,freedman,False,0.056910569105691054
bickel,lin,False,0.017806451612903226
bickel,chang,False,0.046153846153846156
bickel,kløve,False,0.0
bickel,rohde,False,0.013793103448275862
bickel,freed,False,0.062111801242236024
bickel,klingenberg,False,0.045454545454545456
bickel,cao,False,0.055441478439425054
bickel,aravena,False,0.07462686567164178
bickel,jost,False,0.03017241379310345
bickel,kong,False,0.06521739130434782
bickel,reed,False,0.0525
bickel,weber,False,0.04938271604938271
bickel,diggavi,False,0.03857566765578635
nazaikinskii,daskalopoulos,False,0.02830188679245283
nazaikinskii,savinien,False,0.0
nazaikinskii,bellissard,False,0.053763440860215055
baggett,saut,False,0.02
baggett,sofianos,False,0.01834862385321101
baggett,lassaut,False,0.01834862385321101
baggett,zitkovic,False,0.031073446327683617
baggett,neshveyev,False,0.006134969325153374
baggett,kaliszewski,False,0.027522935779816515
erkip,milinovich,False,0.024630541871921183
erkip,cunningham,False,0.004739336492890996
erkip,dembele,False,0.017094017094017096
erkip,cui,False,0.10511363636363637
erkip,xia,False,0.08651685393258426
erkip,xiao,False,0.08592592592592592
erkip,luo,False,0.11290322580645161
erkip,kramer,False,0.07352941176470588
erkip,dykema,False,0.01893939393939394
erkip,white,False,0.06147540983606557
erkip,chiang-hsieh,False,0.0
erkip,wiggins,False,0.012295081967213115
erkip,fukaya,False,0.052434456928838954
erkip,etnyre,False,0.010416666666666666
giampaolo,de siena,False,0.10548523206751055
glebov,shterenberg,False,0.02040816326530612
glebov,zlatos,False,0.02857142857142857
glebov,chuang,False,0.034782608695652174
glebov,hamilton,False,0.008620689655172414
jung,miao,False,0.12234042553191489
jung,zhao,False,0.149438202247191
jung,banks,False,0.0691699604743083
jung,houdré,False,0.03051643192488263
jung,stienon,False,0.03125
jung,matoussi,False,0.02102803738317757
jung,laurent,False,0.10163339382940109
jung,song,False,0.1325478645066274
jung,shallit,False,0.046413502109704644
jung,tischenko,False,0.01818181818181818
jung,petrushev,False,0.0350109409190372
farias,permuter,False,0.014814814814814815
farias,cohen,False,0.016474464579901153
farias,merhav,False,0.04081632653061224
goldstern,blass,False,0.02127659574468085
fabbri,brace,False,0.0
ragnisco,celeghini,False,0.0794392523364486
ragnisco,del olmo,False,0.0794392523364486
ragnisco,finkel,False,0.08379120879120878
ragnisco,lopez,False,0.09060402684563758
ragnisco,gonzalez-lopez,False,0.05371900826446281
ragnisco,rodriguez,False,0.07260726072607261
marquez-carreras,tindel,True,0.043478260869565216
marquez-carreras,bardina,False,0.06666666666666667
ginibre,baert,False,0.0
ginibre,ravelomanana,False,0.0
ginibre,thimonier,False,0.0
worytkiewicz,ortiz,False,0.05084745762711865
carroll,li,False,0.018925454736620755
carroll,wang,False,0.06410779910167415
carroll,hong,False,0.13885898815931108
carroll,everitt,False,0.05622489959839357
milinovich,erkip,False,0.024630541871921183
milinovich,gunduz,False,0.024630541871921183
milinovich,cunningham,False,0.0
milinovich,dembele,False,0.0
milinovich,goldsmith,False,0.025362318840579712
milinovich,smith,False,0.017006802721088437
davies,kebekus,False,0.02072538860103627
davies,kovacs,False,0.022857142857142857
margulies,mcclamroch,False,0.05120481927710843
margulies,ricco,False,0.02962962962962963
margulies,wynn,False,0.03669724770642202
margulies,kim,False,0.02401874633860574
margulies,berstein,False,0.03669724770642202
margulies,weismantel,False,0.03669724770642202
margulies,guruswami,False,0.024390243902439025
margulies,agrachev,False,0.034482758620689655
margulies,bettelheim,False,0.01694915254237288
margulies,hyeon,False,0.05982905982905983
margulies,konno,False,0.02962962962962963
sottile,aschenbrenner,False,0.03515625
silimbani,yun,False,0.0189873417721519
silimbani,cole,False,0.018633540372670808
silimbani,hervik,False,0.014705882352941176
silimbani,coley,False,0.014705882352941176
gurevich,miasnikov,False,0.0
takemura,kamiya,False,0.0
coculescu,bourgade,False,0.008849557522123894
coculescu,hughes,False,0.015151515151515152
coculescu,yor,False,0.007285974499089253
coculescu,rouault,False,0.0
bohman,conlon,False,0.05732484076433121
bohman,bukh,False,0.03676470588235294
bohman,krivelevich,False,0.07482993197278912
bohman,fox,False,0.07407407407407407
bohman,shapira,False,0.09090909090909091
mcclamroch,margulies,False,0.05120481927710843
mcclamroch,ricco,False,0.04294478527607362
mcclamroch,wynn,False,0.03289473684210526
mcclamroch,de loera,False,0.06111111111111111
mcclamroch,kim,False,0.08458542014468559
mcclamroch,berstein,False,0.03289473684210526
mcclamroch,weismantel,False,0.03289473684210526
mcclamroch,guruswami,False,0.03481012658227848
mcclamroch,agrachev,False,0.07339449541284404
mcclamroch,bettelheim,False,0.028846153846153848
mcclamroch,hyeon,False,0.031746031746031744
mcclamroch,bloch,False,0.18805309734513273
mcclamroch,marsden,False,0.13054187192118227
mcclamroch,zenkov,False,0.0
yazaki,yoshioka,False,0.5480769230769231
yazaki,omori,False,0.5480769230769231
yazaki,maeda,False,0.5480769230769231
bois,dryden,False,0.20552147239263804
farber,mayerhofer,False,0.047619047619047616
farber,strachan,False,0.01990049751243781
farber,dunajski,False,0.01990049751243781
kowalczyk,arezzo,False,0.012987012987012988
kowalczyk,fyodorov,False,0.022222222222222223
kowalczyk,kannan,False,0.022935779816513763
kowalczyk,amariucai,False,0.03
kowalczyk,weissauer,False,0.0
foondun,dalang,False,0.0
foondun,sawan,False,0.04477611940298507
foondun,hernandez,False,0.07636363636363637
foondun,visan,False,0.23222748815165878
foondun,chauhan,False,0.04477611940298507
foondun,lang,False,0.06994047619047619
foondun,ortiz,False,0.09696969696969697
foondun,ortiz-latorre,False,0.0
omirov,zuckerman,False,0.04377104377104377
omirov,serganova,False,0.053125
omirov,kerman,False,0.09347826086956522
omirov,götze,False,0.2260536398467433
cordero-soto,lopez,True,0.09418837675350701
giordano,katsura,False,0.01948051948051948
de leo,sosa,False,0.08144796380090498
de leo,leon,False,0.15827338129496402
de leo,marrero,True,0.09364548494983277
de leo,martinez,False,0.08264462809917356
de leo,martin,False,0.05276872964169381
de leo,vankerschaver,False,0.09302325581395349
gradwohl,klappenecker,False,0.029411764705882353
gradwohl,soljanin,False,0.054945054945054944
lins,cojocaru,False,0.06365313653136531
lins,ahmadi,False,0.04972875226039783
velasco,de volder,False,0.0
rieck,bannai,False,0.025
rieck,gezici,False,0.006802721088435374
rieck,molisch,False,0.0
rieck,poor,False,0.016793893129770993
valette,de cornulier,False,0.0
andrews,mahowald,False,0.04415584415584416
andrews,bender,False,0.04748603351955307
mendes,kambites,False,0.06164383561643835
mendes,berrendero,False,0.0
mendes,tyler,False,0.0
badzioch,speyer,False,0.011904761904761904
badzioch,postnikov,False,0.03571428571428571
badzioch,budhiraja,False,0.0
badzioch,kang,False,0.0136986301369863
badzioch,will,False,0.018660812294182216
badzioch,mattman,False,0.0
masaki,alazard,False,0.0
giri,chaichian,False,0.022151898734177215
giri,kuzmanovich,False,0.020066889632107024
giri,fang,False,0.083986562150056
giri,kirkman,False,0.020066889632107024
giri,englis,False,0.006666666666666667
giri,shimada,False,0.0364741641337386
giri,zhan,False,0.07628865979381444
giri,kulish,False,0.029585798816568046
giri,di vizio,False,0.050761421319796954
giri,fan,False,0.08875739644970414
giri,gualdani,False,0.03492063492063492
grava,gamboa,False,0.023255813953488372
grava,bierenbaum,False,0.03
grava,prieur,False,0.0498220640569395
grava,germinet,False,0.05
grava,blümlein,False,0.03070175438596491
ardakov,tolstykh,False,0.11764705882352941
labuz,parker,False,0.03829787234042553
labuz,mitran,False,0.020618556701030927
labuz,bliss,False,0.0
labuz,tarokh,False,0.030201342281879196
banks,yuster,False,0.05913978494623656
banks,miao,False,0.07976653696498054
banks,zhao,False,0.07624633431085044
banks,jung,False,0.0691699604743083
banks,houdré,False,0.034482758620689655
banks,stienon,False,0.01764705882352941
banks,junge,False,0.07672634271099744
banks,matoussi,False,0.03496503496503497
banks,laurent,False,0.04950495049504951
banks,shallit,False,0.04020100502512563
banks,tischenko,False,0.006329113924050633
banks,petrushev,False,0.05747126436781609
opoku,orlandi,False,0.06015037593984962
opoku,dehling,False,0.009523809523809525
opoku,landi,False,0.055415617128463476
toninelli,martinelli,False,0.0
toninelli,derrida,False,0.0
toninelli,giacomin,True,0.2761087267525036
divaani-aazar,cutkosky,False,0.11560693641618497
divaani-aazar,herzog,False,0.1282051282051282
divaani-aazar,srinivas,False,0.12835820895522387
divaani-aazar,hardin,False,0.34
divaani-aazar,srinivasan,False,0.10583941605839416
divaani-aazar,tousi,True,0.2846153846153846
fyodorov,kowalczyk,False,0.022222222222222223
fyodorov,kannan,False,0.045662100456621
fyodorov,del pino,False,0.018018018018018018
fyodorov,amariucai,False,0.04807692307692308
fyodorov,weissauer,False,0.0
boileau,viallon,False,0.015228426395939087
boileau,debbarh,False,0.025510204081632654
boileau,francaviglia,False,0.05333333333333334
morris,spiga,False,0.0
gonzalez-davila,swann,False,0.08208955223880597
gonzalez-davila,davila,False,0.7207207207207207
gonzalez-davila,avila,False,0.41237113402061853
perez,moreno-balcazar,False,0.0
perez,pinar,False,0.0
daniyarova,casals-ruiz,False,0.15833333333333333
daniyarova,duncan,False,0.1044776119402985
kim,clementino,False,0.01707891637220259
kim,axelsson,False,0.035398230088495575
kim,auscher,False,0.0468384074941452
kim,dong,False,0.14140875133404482
kim,margulies,False,0.02401874633860574
kim,mcclamroch,False,0.08458542014468559
kim,ricco,False,0.024146054181389872
kim,wynn,False,0.014209591474245116
kim,de loera,False,0.03667054714784633
kim,berstein,False,0.014209591474245116
kim,weismantel,False,0.014209591474245116
kim,guruswami,False,0.01768867924528302
kim,agrachev,False,0.02699530516431925
kim,bettelheim,False,0.016548463356973995
